Problem: openmdao   method: _solve_nonlinear

  Parallel group: traj.phases (ncalls = 1)

  System                 Rank      Avg Time     Min Time     Max_time   Total Time
  ------                 ----      --------     --------     --------   ----------
  phase1                    0       35.4402      35.4402      35.4402      35.4402
  phase1                    1       35.4307      35.4307      35.4307      35.4307
  phase1                    2       35.4411      35.4411      35.4411      35.4411
  phase1                    3       35.4397      35.4397      35.4397      35.4397
  phase1                    4       35.4326      35.4326      35.4326      35.4326
  phase1                    5       35.4324      35.4324      35.4324      35.4324
  phase1                    6       35.4290      35.4290      35.4290      35.4290
  phase1                    7       35.4345      35.4345      35.4345      35.4345

  Parallel group: traj.phases.phase1.rhs_all.aero.OAS.parallel (ncalls = 1)

  System                 Rank      Avg Time     Min Time     Max_time   Total Time
  ------                 ----      --------     --------     --------   ----------
  node_3                    0        1.3234       1.3234       1.3234       1.3234
  node_11                   0        1.7012       1.7012       1.7012       1.7012
  node_27                   0        1.7074       1.7074       1.7074       1.7074
  node_35                   0        1.7019       1.7019       1.7019       1.7019
  node_39                   0        1.7910       1.7910       1.7910       1.7910
  node_43                   0        1.8464       1.8464       1.8464       1.8464
  node_51                   0        1.9137       1.9137       1.9137       1.9137
  node_68                   0        1.7721       1.7721       1.7721       1.7721
  node_76                   0        1.8286       1.8286       1.8286       1.8286
  node_79                   0        1.7963       1.7963       1.7963       1.7963
  node_84                   0        1.6913       1.6913       1.6913       1.6913
  node_92                   0        1.4569       1.4569       1.4569       1.4569
  node_108                  0        1.6359       1.6359       1.6359       1.6359
  node_116                  0        1.8428       1.8428       1.8428       1.8428
  node_119                  0        1.5729       1.5729       1.5729       1.5729
  node_124                  0        1.7090       1.7090       1.7090       1.7090
  node_132                  0        1.8845       1.8845       1.8845       1.8845
  node_148                  0        1.6557       1.6557       1.6557       1.6557
  node_156                  0        1.6275       1.6275       1.6275       1.6275
  node_159                  0        1.5297       1.5297       1.5297       1.5297
  node_2                    1        1.8716       1.8716       1.8716       1.8716
  node_10                   1        1.6626       1.6626       1.6626       1.6626
  node_26                   1        1.7788       1.7788       1.7788       1.7788
  node_34                   1        1.6497       1.6497       1.6497       1.6497
  node_38                   1        1.7739       1.7739       1.7739       1.7739
  node_42                   1        1.7443       1.7443       1.7443       1.7443
  node_50                   1        1.4857       1.4857       1.4857       1.4857
  node_67                   1        1.6075       1.6075       1.6075       1.6075
  node_75                   1        1.8104       1.8104       1.8104       1.8104
  node_80                   1        1.2031       1.2031       1.2031       1.2031
  node_81                   1        1.6179       1.6179       1.6179       1.6179
  node_83                   1        1.7457       1.7457       1.7457       1.7457
  node_91                   1        1.6787       1.6787       1.6787       1.6787
