         95439220 function calls (94349687 primitive calls) in 465.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   890430  125.632    0.000  125.632    0.000 {method 'union' of 'frozenset' objects}
  1532700   47.234    0.000   54.936    0.000 dictionary_jacobian.py:63(_apply)
   427916   44.477    0.000   44.600    0.000 default_vector.py:408(_scale_forward)
126901/718   44.014    0.000  371.877    0.518 linear_block_gs.py:75(_single_iteration)
   427916   43.788    0.000   43.866    0.000 default_vector.py:424(_scale_reverse)
    816/1   30.826    0.038   30.953   30.953 group.py:2031(_setup_global_connections)
  2700247   23.013    0.000   23.013    0.000 default_vector.py:353(set_val)
126901/718   15.717    0.000  373.605    0.520 linear_runonce.py:21(solve)
   126901   11.332    0.000   11.369    0.000 solver.py:1101(_update_rhs_vec)
   529055    6.229    0.000   13.237    0.000 default_transfer.py:247(_transfer)
   234689    3.914    0.000    3.914    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     9254    3.712    0.000    3.712    0.000 {method 'scatter' of 'petsc4py.PETSc.Scatter' objects}
    28800    3.636    0.000   63.998    0.002 {method 'solve' of 'petsc4py.PETSc.KSP' objects}
  3065400    3.286    0.000    5.782    0.000 system.py:2535(_matvec_context)
  1412356    3.022    0.000   63.877    0.000 explicitcomponent.py:364(_apply_linear)
   140501    2.736    0.000    2.736    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
294430/58886    2.652    0.000   73.777    0.001 group.py:3260(_apply_linear)
  7645308    2.162    0.000    2.162    0.000 vector.py:371(_abs_get_val)
  2721460    1.839    0.000    2.164    0.000 contextlib.py:104(__init__)
   171030    1.771    0.000    1.771    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   817968    1.736    0.000   84.399    0.000 group.py:2665(_transfer)
   618576    1.510    0.000    1.725    0.000 default_vector.py:307(__imul__)
  2721460    1.454    0.000   15.033    0.000 contextlib.py:141(__exit__)
       25    1.451    0.058    5.332    0.213 pseudospectral_timeseries_output_comp.py:98(_add_output_configure)
    72967    1.438    0.000    1.438    0.000 {method 'copy' of 'numpy.ndarray' objects}
  5443692    1.348    0.000   31.732    0.000 {built-in method builtins.next}
  4501594    1.326    0.000    1.605    0.000 group.py:4363(_solver_subsystem_iter)
  2721460    1.174    0.000    3.338    0.000 contextlib.py:284(helper)
    43202    1.072    0.000    2.375    0.000 numeric.py:1468(cross)
  2721460    0.903    0.000   19.055    0.000 contextlib.py:132(__enter__)
    23928    0.872    0.000    0.914    0.000 default_vector.py:188(_initialize_views)
  1206737    0.856    0.000    0.856    0.000 {method 'dot' of 'numpy.ndarray' objects}
   326574    0.832    0.000    0.920    0.000 default_vector.py:265(__iadd__)
    30086    0.819    0.000   56.733    0.002 petsc_ksp.py:265(mult)
    57683    0.798    0.000    0.876    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
  2289192    0.771    0.000    1.237    0.000 system.py:2474(_unscaled_context)
       38    0.724    0.019    0.772    0.020 system.py:3749(get_io_metadata)
  2433674    0.689    0.000    0.689    0.000 {method 'intersection' of 'frozenset' objects}
    16800    0.688    0.000    5.337    0.000 eval_mtx.py:14(_compute_finite_vortex)
  2852016    0.672    0.000    1.968    0.000 default_vector.py:440(asarray)
    45762    0.575    0.000    3.061    0.000 vector_algebra.py:92(compute_norm)
      816    0.522    0.001    0.522    0.001 group.py:2000(_compute_owning_ranks)
      818    0.473    0.001    1.421    0.002 group.py:1605(_setup_var_data)
